date,time,symbol,option_type,strike_price,entry_price,exit_price,quantity,pnl,pnl_pct,exit_type,duration_min,is_paper
2025-06-30,09:45:24,NSE:NIFTY2570325700CE,CE,0,114.95,91.7,75,-1743.75,-20.22618529795563,STOPLOSS,21.04594858333333,True
2025-07-01,09:52:24,NSE:NIFTY2570325600CE,CE,0,108.95,102.4,75,-491.25,-6.011932078935291,TIME,30.00695028333333,True
2025-07-02,10:13:30,NSE:NIFTY2571025500PE,PE,0,141.2,149.45,53,437.25,5.8427762039660065,TIME,30.008133866666665,True
2025-07-02,10:43:33,NSE:NIFTY2571025500PE,PE,0,149.05,155.2,75,461.25,4.126132170412613,TIME,30.03984365,True
2025-07-04,15:41:33,NSE:NIFTY2571025500CE,CE,0,103.7,118.8,75,1132.5,14.561234329797493,TIME,66.25885686666666,True
2025-07-08,13:04:03,NSE:NIFTY2571025500CE,CE,0,84.6,79.55,75,-378.75,-5.969267139479905,MAX_DURATION,30.03624305,True
2025-07-22,09:47:16,NSE:NIFTY2572425100PE,PE,0,79.2,62.5,75,-1252.5,-21.085858585858585,STOPLOSS,5.053746483333333,True
2025-07-22,10:06:27,NSE:NIFTY2572425100PE,PE,0,72.9,75.05,53,113.94999999999936,2.949245541838118,STOPLOSS,10.547683866666667,True
2025-07-23,11:12:07,NSE:NIFTY2572425100CE,CE,0,73.55,81.7,75,611.25,11.080897348742353,STOPLOSS,26.990766333333333,True,0,0,0,0
2025-07-23,12:12:52,NSE:NIFTY2572425100CE,CE,0,84.0,93.6,75,720.0,11.428571428571429,STOPLOSS,15.005116733333333,True,0,0,0,0
2025-07-23,13:07:45,NSE:NIFTY2572425150CE,CE,0,79.95,72.95,75,-525.0,-8.755472170106318,MAX_DURATION,30.1126329,True,0,0,0,0
2025-07-23,13:52:40,NSE:NIFTY2572425200PE,PE,0,71.5,56.7,75,-1110.0,-20.6993006993007,STOPLOSS,29.82045305,True,0,0,0,0
2025-07-24,11:29:22,NSE:NIFTY25JUL25000PE,PE,0,61.4,71.25,75,738.75,16.042345276872965,STOPLOSS,14.297538533333332,True,0,0,0,0
